BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-08-05
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201107,TOT,201107
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
DEVIATION%,-4,14,10,-100,-100,33,82,19,30,0,0,-67,-52,0,-35
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,70016,8,40765,0,0,8,25623,32,3629,4,0,2,4128,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,DELAREYVILLE-201
CURRENT YEAR,59674,5,32085,0,0,5,25456,48,2133,1,0,0,0,6050,228
PREVIOUS YEAR,60393,7,40057,0,0,6,17636,65,2700,4,0,0,0,15122,39
DEVIATION,-718,-2,-7972,0,0,-1,7820,-17,-567,-3,0,0,0,-9072,189
DEVIATION%,-1,-29,-20,0,0,-17,44,-26,-21,-75,0,0,0,-60,485
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,59674,5,32085,0,0,5,25456,48,2133,1,0,0,0,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,LADYBRAND-130
CURRENT YEAR,58845,4,14705,5,36135,3,6269,14,1735,1,0,0,0,904,-23
PREVIOUS YEAR,35656,5,20317,2,8499,6,4351,21,2490,1,0,0,0,6104,-1514
DEVIATION,23189,-1,-5612,3,27636,-3,1918,-7,-754,0,0,0,0,-5200,1491
DEVIATION%,65,-20,-28,150,325,-50,44,-33,-30,0,0,0,0,-85,-98
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,58845,4,14705,5,36135,3,6269,14,1735,1,0,0,0,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,POSTMASBURG-182
CURRENT YEAR,49685,6,34864,1,404,10,13276,13,1142,2,0,1,3053,7830,2564
PREVIOUS YEAR,86551,8,59527,2,16129,10,10316,8,580,7,0,1,1080,12640,-770
DEVIATION,-36866,-2,-24663,-1,-15725,0,2961,5,562,-5,0,0,1973,-4810,3334
DEVIATION%,-43,-25,-41,-50,-97,0,29,63,97,-71,0,0,183,-38,-433
TARGET,91462,8,64551,2,14064,11,10832,8,609,7,1407,0,0,0,0
DEVIATION,-41777,-2,-29687,-1,-13660,-1,2445,5,533,-5,-1407,1,3053,0,0
DEVIATION%,-46,-25,-46,-50,-97,-9,23,63,88,-71,-100,0,0,0,0
17,PRIESKA-180
CURRENT YEAR,49055,4,21524,4,24179,3,1741,10,1262,2,350,5,3554,4114,75
PREVIOUS YEAR,5411,1,4971,0,0,1,0,3,440,1,0,7,6794,3067,971
DEVIATION,43644,3,16553,4,24179,2,1741,7,822,1,350,-2,-3240,1047,-896
DEVIATION%,807,300,333,0,0,200,0,233,187,100,0,-29,-48,34,-92
TARGET,5237,1,4712,0,0,1,0,3,462,1,63,0,0,0,0
DEVIATION,43818,3,16811,4,24179,2,1741,7,800,1,287,5,3554,0,0
DEVIATION%,837,300,357,0,0,200,0,233,173,0,456,0,0,0,0
18,FICKSBURG-62
CURRENT YEAR,41601,4,19544,2,13182,7,7399,22,1476,1,0,3,3882,13051,2015
PREVIOUS YEAR,30161,2,10242,3,10708,3,6803,30,2408,1,0,1,1866,5481,-1605
DEVIATION,11440,2,9302,-1,2474,4,597,-8,-932,0,0,2,2016,7570,3620
DEVIATION%,38,100,91,-33,23,133,9,-27,-39,0,0,200,108,138,-226
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,41601,4,19544,2,13182,7,7399,22,1476,1,0,3,3882,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,BOTSHABELO-9
CURRENT YEAR,32036,2,18548,2,12010,2,1478,0,0,1,0,1,624,5549,2475
PREVIOUS YEAR,24979,3,16951,2,4558,3,2254,6,565,1,650,14,17612,3747,4627
DEVIATION,7057,-1,1597,0,7452,-1,-776,-6,-565,0,-650,-13,-16988,1802,-2153
DEVIATION%,28,-33,9,0,163,-33,-34,-100,-100,0,-100,-93,-96,48,-47
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,32036,2,18548,2,12010,2,1478,0,0,1,0,1,624,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,WOLMARANSSTAD-264
CURRENT YEAR,30773,4,21690,0,0,4,6868,23,2215,1,0,5,4340,8779,1605
PREVIOUS YEAR,56832,6,38700,0,0,7,16575,24,1557,6,0,4,5042,10803,-117
DEVIATION,-26059,-2,-17010,0,0,-3,-9706,-1,658,-5,0,1,-702,-2024,1722
DEVIATION%,-46,-33,-44,0,0,-43,-59,-4,42,-83,0,25,-14,-19,-1466
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,30773,4,21690,0,0,4,6868,23,2215,1,0,5,4340,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CHRISTIANA-30
CURRENT YEAR,26435,3,16773,1,5211,6,2373,65,2078,1,0,4,4171,5107,210
PREVIOUS YEAR,23063,3,14204,1,1662,3,5154,60,2043,2,0,0,0,1010,0
DEVIATION,3371,0,2568,0,3549,3,-2781,5,34,-1,0,4,4171,4097,210
DEVIATION%,15,0,18,0,214,100,-54,8,2,-50,0,0,0,406,0
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,26435,3,16773,1,5211,6,2373,65,2078,1,0,4,4171,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,BOTHAVILLE-18
CURRENT YEAR,11477,1,8499,0,0,1,1798,15,830,1,350,0,0,732,0
PREVIOUS YEAR,12787,3,10420,0,0,2,1325,17,1043,0,0,0,0,403,5740
DEVIATION,-1310,-2,-1921,0,0,-1,474,-2,-213,1,350,0,0,330,-5740
DEVIATION%,-10,-67,-18,0,0,-50,36,-12,-20,0,0,0,0,82,-100
TARGET,12941,3,10455,0,0,2,1391,18,1095,0,0,0,0,0,0
DEVIATION,-1464,-2,-1956,0,0,-1,407,-3,-265,1,350,0,0,0,0
DEVIATION%,-11,-67,-19,0,0,-50,29,-17,-24,0,0,0,0,0,0
23,VIRGINIA-244
CURRENT YEAR,6737,1,5522,1,118,2,1096,0,0,0,0,0,0,1245,0
PREVIOUS YEAR,80920,8,55139,0,0,9,20548,3,483,6,4750,0,0,11549,0
DEVIATION,-74184,-7,-49617,1,118,-7,-19452,-3,-483,-6,-4750,0,0,-10304,0
DEVIATION%,-92,-88,-90,0,0,-78,-95,-100,-100,-100,-100,0,0,-89,0
TARGET,85467,8,58397,0,0,9,21575,3,507,6,4988,0,0,0,0
DEVIATION,-78730,-7,-52875,1,118,-7,-20479,-3,-507,-6,-4988,0,0,0,0
DEVIATION%,-92,-88,-91,0,0,-78,-95,-100,-100,-100,-100,0,0,0,0
24,WINBURG-263
CURRENT YEAR,136,1,-473,1,355,0,0,11,253,0,0,0,0,922,-2477
PREVIOUS YEAR,54920,7,37901,2,5546,10,10577,47,2067,4,-1170,0,0,10921,2282
DEVIATION,-54785,-6,-38374,-1,-5191,-10,-10577,-36,-1813,-4,1170,0,0,-9999,-4759
DEVIATION%,-100,-86,-101,-50,-94,-100,-100,-77,-88,-100,-100,0,0,-92,-209
TARGET,62753,7,43654,2,5823,11,11106,49,2170,4,0,0,0,0,0
DEVIATION,-62617,-6,-44127,-1,-5468,-11,-11106,-38,-1917,-4,0,0,0,0,0
DEVIATION%,-100,-86,-101,-50,-94,-100,-100,-78,-88,-100,0,0,0,0,0
DEVIATION%,-100,-86,-101,-50,-94,-100,-100,-78,-88,-100,0,0,0,0,0
Current year,2963194,341,1957103,48,303448,416,518300,612,57288,186,127055,167,231590,411437,77627
Previous year,3371582,384,2312993,42,203649,470,669395,814,64447,226,121098,148,188682,549583,65002
Deviation,-408388,-43,-355890,6,99799,-54,-151095,-202,-7159,-40,5957,19,42908,-138146,12626
Deviation%,-12,-11,-15,14,49,-11,-23,-25,-11,-18,5,13,23,-25,19
Target,1446023,164,1028661,14,58766,209,284239,277,21914,102,52443,0,0,0,0
Deviation,1517171,177,928442,34,244682,207,234061,335,35375,84,74612,167,231590,0,0
Deviation%,51,108,90,243,416,99,82,121,161,82,142,0,0,0,0
1,MAITLAND-427
CURRENT YEAR,465455,129,322458,4,20799,81,106668,12,2797,19,12734,10,19447,66883,4940
PREVIOUS YEAR,282488,76,208439,4,20376,83,44443,9,1279,11,7950,22,32175,40645,9955
DEVIATION,182968,53,114018,0,422,-2,62225,3,1518,8,4784,-12,-12728,26238,-5014
DEVIATION%,65,70,55,0,2,-2,140,33,119,73,60,-55,-40,65,-50
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,465455,129,322458,4,20799,81,106668,12,2797,19,12734,10,19447,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BELLVILLE-630
CURRENT YEAR,360807,33,263585,0,0,43,72754,16,3317,18,21150,48,89208,58619,36407
PREVIOUS YEAR,466527,53,366959,1,5059,62,73746,13,2463,20,18300,61,98852,79245,37423
DEVIATION,-105721,-20,-103374,-1,-5059,-19,-992,3,854,-2,2850,-13,-9644,-20626,-1016
DEVIATION%,-23,-38,-28,-100,-100,-31,-1,23,35,-10,16,-21,-10,-26,-3
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,360807,33,263585,0,0,43,72754,16,3317,18,21150,48,89208,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,GEORGE-79
CURRENT YEAR,268454,52,219570,1,2239,67,42636,23,2909,13,1100,36,44211,43938,8457
PREVIOUS YEAR,178334,33,140560,0,0,48,32930,21,1494,6,3350,30,37960,28566,17850
DEVIATION,90120,19,79010,1,2239,19,9706,2,1415,7,-2250,6,6251,15373,-9393
DEVIATION%,51,58,56,0,0,40,29,10,95,117,-67,20,16,54,-53
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,268454,52,219570,1,2239,67,42636,23,2909,13,1100,36,44211,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,STRAND-212
CURRENT YEAR,239190,32,198550,1,850,49,30202,9,1688,13,7900,9,14253,45586,4876
PREVIOUS YEAR,168576,29,133533,0,0,34,29364,12,1679,6,4000,30,45895,35469,16117
DEVIATION,70613,3,65016,1,850,15,838,-3,9,7,3900,-21,-31642,10117,-11241
DEVIATION%,42,10,49,0,0,44,3,-25,1,117,98,-70,-69,29,-70
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,239190,32,198550,1,850,49,30202,9,1688,13,7900,9,14253,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,KHAYALITSHA-123
CURRENT YEAR,189123,16,88309,5,33415,15,61789,25,5260,3,350,43,94119,19488,39796
PREVIOUS YEAR,85248,7,33788,2,14501,8,36654,6,306,0,0,15,34252,7524,19987
DEVIATION,103875,9,54521,3,18914,7,25136,19,4954,3,350,28,59868,11964,19809
DEVIATION%,122,129,161,150,130,88,69,317,1618,0,0,187,175,159,99
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,189123,16,88309,5,33415,15,61789,25,5260,3,350,43,94119,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TYGER VALLEY-631
CURRENT YEAR,186743,17,160506,0,0,31,19338,0,0,10,6900,0,0,31220,0
PREVIOUS YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,186743,17,160506,0,0,31,19338,0,0,10,6900,0,0,31220,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,186743,17,160506,0,0,31,19338,0,0,10,6900,0,0,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PIKETBERG-622
CURRENT YEAR,174416,24,116404,9,23060,37,28285,20,1561,21,5107,40,45934,24607,6547
PREVIOUS YEAR,100147,12,51189,6,35145,14,10465,23,1318,12,2030,13,11172,12599,4531
DEVIATION,74269,12,65214,3,-12085,23,17820,-3,242,9,3077,27,34762,12008,2016
DEVIATION%,74,100,127,50,-34,164,170,-13,18,75,152,208,311,95,44
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,174416,24,116404,9,23060,37,28285,20,1561,21,5107,40,45934,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,VREDENBURG-621
CURRENT YEAR,159360,20,93457,9,38106,27,22268,14,1329,8,4200,8,23941,23074,2308
PREVIOUS YEAR,118313,12,68106,5,35998,20,10947,4,211,6,3050,11,14356,17993,9546
DEVIATION,41047,8,25351,4,2108,7,11320,10,1117,2,1150,-3,9585,5081,-7238
DEVIATION%,35,67,37,80,6,35,103,250,528,33,38,-27,67,28,-76
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,159360,20,93457,9,38106,27,22268,14,1329,8,4200,8,23941,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,WYNBERG-429
CURRENT YEAR,151801,16,115825,0,0,23,33689,5,437,5,1850,11,14616,21544,2685
PREVIOUS YEAR,118442,13,73304,1,6614,17,35518,4,456,6,2550,11,15013,21083,3638
DEVIATION,33359,3,42520,-1,-6614,6,-1829,1,-19,-1,-700,0,-397,460,-952
DEVIATION%,28,23,58,-100,-100,35,-5,25,-4,-17,-27,0,-3,2,-26
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,151801,16,115825,0,0,23,33689,5,437,5,1850,11,14616,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PAARL-185
CURRENT YEAR,147258,15,118613,1,688,21,20263,12,1295,7,6400,11,19458,18275,6999
PREVIOUS YEAR,172323,18,138906,0,0,26,27636,20,1532,6,4250,11,18095,28339,3917
DEVIATION,-25065,-3,-20293,1,688,-5,-7373,-8,-237,1,2150,0,1363,-10063,3082
DEVIATION%,-15,-17,-15,0,0,-19,-27,-40,-15,17,51,0,8,-36,79
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,147258,15,118613,1,688,21,20263,12,1295,7,6400,11,19458,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,OUDTSHOORN-162
CURRENT YEAR,117648,21,90849,0,0,26,23711,6,539,9,2550,9,12413,26825,2186
PREVIOUS YEAR,48995,9,30712,1,8114,9,8579,4,490,3,1100,6,5604,1906,-184
DEVIATION,68653,12,60137,-1,-8114,17,15132,2,49,6,1450,3,6809,24919,2370
DEVIATION%,140,133,196,-100,-100,189,176,50,10,200,132,50,122,1307,-1288
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,117648,21,90849,0,0,26,23711,6,539,9,2550,9,12413,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,STELLENBOSCH-211
CURRENT YEAR,73142,9,55847,0,0,10,12978,10,2387,4,1930,21,24697,10448,2453
PREVIOUS YEAR,49753,9,33331,1,6034,8,8076,12,1211,2,1100,0,0,9281,-3128
DEVIATION,23390,0,22516,-1,-6034,2,4902,-2,1176,2,830,21,24697,1167,5581
DEVIATION%,47,0,68,-100,-100,25,61,-17,97,100,75,0,0,13,-178
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,73142,9,55847,0,0,10,12978,10,2387,4,1930,21,24697,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,EERSTERIVIER-639
CURRENT YEAR,70195,9,59075,0,0,9,8421,6,1799,5,900,26,30984,11032,3642
PREVIOUS YEAR,49075,5,39811,1,4156,5,3254,6,1474,4,380,25,27762,7599,9806
DEVIATION,21119,4,19264,-1,-4156,4,5167,0,325,1,520,1,3222,3433,-6164
DEVIATION%,43,80,48,-100,-100,80,159,0,22,25,137,4,12,45,-63
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,70195,9,59075,0,0,9,8421,6,1799,5,900,26,30984,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,WORCESTER-273
CURRENT YEAR,63256,10,46850,3,2475,13,10798,7,682,4,2450,5,5288,12795,2236
PREVIOUS YEAR,56299,9,46417,1,2025,14,5737,18,920,3,1200,0,0,9679,22893
DEVIATION,6956,1,434,2,450,-1,5061,-11,-239,1,1250,5,5288,3117,-20657
DEVIATION%,12,11,1,200,22,-7,88,-61,-26,33,104,0,0,32,-90
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,63256,10,46850,3,2475,13,10798,7,682,4,2450,5,5288,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,BEAUFORT WES-27
CURRENT YEAR,59341,7,36863,2,11095,6,7316,24,1517,6,2551,6,7416,12297,2080
PREVIOUS YEAR,49036,8,33977,1,5208,12,6811,27,1540,4,1500,20,22924,11697,2746
DEVIATION,10304,-1,2886,1,5887,-6,505,-3,-24,2,1051,-14,-15508,600,-666
DEVIATION%,21,-13,8,100,113,-50,7,-11,-2,50,70,-70,-68,5,-24
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,59341,7,36863,2,11095,6,7316,24,1517,6,2551,6,7416,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,MOSSELBAAI-617
CURRENT YEAR,55349,8,41746,0,0,13,10557,6,347,4,2700,6,8575,8460,1749
PREVIOUS YEAR,34746,6,26840,0,0,8,6509,12,497,2,900,3,2748,6670,-1165
DEVIATION,20603,2,14906,0,0,5,4048,-6,-151,2,1800,3,5827,1790,2914
DEVIATION%,59,33,56,0,0,63,62,-50,-30,100,200,100,212,27,-250
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,55349,8,41746,0,0,13,10557,6,347,4,2700,6,8575,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BREDASDORP-29
CURRENT YEAR,52484,7,32743,3,11480,11,5829,5,782,5,1650,7,6462,8195,3772
PREVIOUS YEAR,84507,15,66803,0,0,20,12430,6,488,11,4787,18,15160,13291,2309
DEVIATION,-32024,-8,-34060,3,11480,-9,-6601,-1,294,-6,-3137,-11,-8698,-5095,1463
DEVIATION%,-38,-53,-51,0,0,-45,-53,-17,60,-55,-66,-61,-57,-38,63
