BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-08-05
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201107,TOT,201107
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
1,BLOEMFONTEIN-543
CURRENT YEAR,736596,84,507237,16,91724,100,101746,62,6833,37,29055,17,42483,105970,5911
PREVIOUS YEAR,981227,108,714173,11,56156,143,152095,81,9896,63,48908,11,13512,160190,3324
DEVIATION,-244631,-24,-206935,5,35568,-43,-50349,-19,-3062,-26,-19853,6,28971,-54221,2587
DEVIATION%,-25,-22,-29,45,63,-30,-33,-23,-31,-41,-41,55,214,-34,78
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,736596,84,507237,16,91724,100,101746,62,6833,37,29055,17,42483,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,KLERKSDORP-542
CURRENT YEAR,298080,39,202180,4,15771,55,53939,67,9640,30,16550,26,33839,50301,9503
PREVIOUS YEAR,411139,43,254028,4,11853,49,118232,82,8765,29,18260,20,22147,60810,2954
DEVIATION,-113059,-4,-51848,0,3918,6,-64294,-15,875,1,-1710,6,11692,-10510,6549
DEVIATION%,-27,-9,-20,0,33,12,-54,-18,10,3,-9,30,53,-17,222
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,298080,39,202180,4,15771,55,53939,67,9640,30,16550,26,33839,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,KIMBERLEY 1-541
CURRENT YEAR,290725,35,231323,0,0,49,32518,21,1784,18,25100,16,26129,42864,10459
PREVIOUS YEAR,225688,25,186965,4,11745,40,24780,31,2198,20,0,9,12042,38621,4521
DEVIATION,65038,10,44358,-4,-11745,9,7739,-10,-414,-2,25100,7,14087,4243,5938
DEVIATION%,29,40,24,-100,-100,23,31,-32,-19,-10,0,78,117,11,131
TARGET,239681,26,198927,4,9236,42,26019,33,2308,21,3192,0,0,0,0
DEVIATION,51044,9,32396,-4,-9236,7,6499,-12,-524,-3,21908,16,26129,0,0
DEVIATION%,21,35,16,-100,-100,17,25,-36,-23,-14,686,0,0,0,0
4,WELKOM-275
CURRENT YEAR,250669,30,174232,1,8684,39,52728,1,395,21,14630,9,15910,12596,8577
PREVIOUS YEAR,351147,38,229443,4,29743,43,72746,26,3165,24,16050,21,33546,49923,6910
DEVIATION,-100478,-8,-55212,-3,-21058,-4,-20018,-25,-2770,-3,-1420,-12,-17636,-37327,1668
DEVIATION%,-29,-21,-24,-75,-71,-9,-28,-96,-88,-13,-9,-57,-53,-75,24
TARGET,361233,40,242145,4,22056,45,76383,27,3323,25,17325,0,0,0,0
DEVIATION,-110564,-10,-67913,-3,-13372,-6,-23655,-26,-2929,-4,-2695,9,15910,0,0
DEVIATION%,-31,-25,-28,-75,-61,-13,-31,-96,-88,-16,-16,0,0,0,0
5,ORKNEY-164
CURRENT YEAR,164923,15,96446,2,15696,14,42802,28,2930,10,7050,0,0,27399,672
PREVIOUS YEAR,94539,19,56123,1,6427,21,28225,36,2715,3,1050,0,0,17135,162
DEVIATION,70384,-4,40323,1,9269,-7,14577,-8,215,7,6000,0,0,10264,510
DEVIATION%,74,-21,72,100,144,-33,52,-22,8,233,571,0,0,60,315
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,164923,15,96446,2,15696,14,42802,28,2930,10,7050,0,0,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HARTSWATER 1-31
CURRENT YEAR,158553,20,95253,1,28296,18,24089,28,1445,13,9470,23,28672,15655,12506
PREVIOUS YEAR,10381,1,4366,0,0,1,2776,53,2709,1,530,3,3855,503,-1275
DEVIATION,148172,19,90887,1,28296,17,21313,-25,-1264,12,8940,20,24817,15152,13781
DEVIATION%,1427,1900,2082,0,0,1700,768,-47,-47,1200,1687,667,644,3014,-1081
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,158553,20,95253,1,28296,18,24089,28,1445,13,9470,23,28672,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,UPINGTON-112
CURRENT YEAR,156680,16,90121,3,26920,14,27763,31,4977,12,6900,21,30440,22784,10518
PREVIOUS YEAR,198422,23,132523,0,0,27,49101,29,5059,17,11740,22,36036,42498,19318
DEVIATION,-41742,-7,-42402,3,26920,-13,-21338,2,-82,-5,-4840,-1,-5597,-19714,-8800
DEVIATION%,-21,-30,-32,0,0,-48,-43,7,-2,-29,-41,-5,-16,-46,-46
TARGET,209398,24,140203,0,0,28,51556,30,5312,18,12327,0,0,0,0
DEVIATION,-52718,-8,-50083,3,26920,-14,-23793,1,-335,-6,-5427,21,30440,0,0
DEVIATION%,-25,-33,-36,0,0,-50,-46,3,-6,-33,-44,0,0,0,0
8,SCHWEIZER RENEKE-200
CURRENT YEAR,107309,14,70389,2,14626,20,17524,50,4769,6,0,8,5412,16798,2485
PREVIOUS YEAR,71121,10,58910,0,0,10,9623,49,2588,4,0,0,0,2372,5284
DEVIATION,36188,4,11479,2,14626,10,7901,1,2181,2,0,8,5412,14426,-2799
DEVIATION%,51,40,19,0,0,100,82,2,84,50,0,0,0,608,-53
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,107309,14,70389,2,14626,20,17524,50,4769,6,0,8,5412,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KURUMAN-119
CURRENT YEAR,98601,9,52636,2,10137,10,28952,9,777,7,6100,7,6564,14536,2002
PREVIOUS YEAR,123809,13,81392,2,10881,12,20882,15,2354,9,8300,7,11517,29163,3165
DEVIATION,-25208,-4,-28756,0,-745,-2,8070,-6,-1578,-2,-2200,0,-4953,-14627,-1163
DEVIATION%,-20,-31,-35,0,-7,-17,39,-40,-67,-22,-27,0,-43,-50,-37
TARGET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEVIATION,98601,9,52636,2,10137,10,28952,9,777,7,6100,7,6564,0,0
DEVIATION%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,KROONSTAD-118
CURRENT YEAR,96049,13,78912,0,0,18,13355,34,3782,5,0,6,4320,13047,619
PREVIOUS YEAR,138409,20,105399,1,2289,25,27592,66,3129,8,0,11,7728,22068,428
DEVIATION,-42361,-7,-26487,-1,-2289,-7,-14237,-32,653,-3,0,-5,-3408,-9021,191
DEVIATION%,-31,-35,-25,-100,-100,-28,-52,-48,21,-38,0,-45,-44,-41,45
TARGET,146360,21,111955,1,1637,26,28972,69,3285,8,510,0,0,0,0
DEVIATION,-50311,-8,-33044,-1,-1637,-8,-15616,-35,496,-3,-510,6,4320,0,0
DEVIATION%,-34,-38,-30,-100,-100,-31,-54,-51,15,-38,-100,0,0,0,0
11,HENNENMAN-98
CURRENT YEAR,92945,11,64118,0,0,14,20031,18,2496,6,6300,13,14070,13355,2905
PREVIOUS YEAR,32160,4,24775,0,0,9,6276,12,578,1,530,11,7270,4752,1997
DEVIATION,60785,7,39343,0,0,5,13754,6,1918,5,5770,2,6800,8602,907
DEVIATION%,189,175,159,0,0,56,219,50,332,500,1089,18,94,181,45
TARGET,33614,5,25860,0,0,9,6590,13,607,1,557,0,0,0,0
DEVIATION,59331,6,38258,0,0,5,13441,5,1889,5,5744,13,14070,0,0
DEVIATION%,177,120,148,0,0,56,204,38,311,0,1032,0,0,0,0
12,ODENDAALSRUS-160
CURRENT YEAR,75593,12,60211,0,0,14,9474,10,709,6,5200,0,0,9652,664
PREVIOUS YEAR,188727,20,119363,1,8293,24,47443,23,2128,10,11500,0,0,28512,2214
DEVIATION,-113134,-8,-59152,-1,-8293,-10,-37969,-13,-1419,-4,-6300,0,0,-18860,-1550
DEVIATION%,-60,-40,-50,-100,-100,-42,-80,-57,-67,-40,-55,0,0,-66,-70
TARGET,197877,21,127802,1,5950,25,49815,24,2234,11,12075,0,0,0,0
DEVIATION,-122284,-9,-67591,-1,-5950,-11,-40341,-14,-1526,-5,-6875,0,0,0,0
DEVIATION%,-62,-43,-53,-100,-100,-44,-81,-58,-68,-45,-57,0,0,0,0
13,VRYBURG-247
CURRENT YEAR,70016,8,40765,0,0,8,25623,32,3629,4,0,2,4128,12199,4136
PREVIOUS YEAR,73138,7,37104,2,19159,6,14088,27,2788,4,0,6,8634,12191,6349
DEVIATION,-3122,1,3661,-2,-19159,2,11535,5,841,0,0,-4,-4506,8,-2213
