BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-05-06
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201007,TOT,201104
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
1,WELKOM - 275,Opgegradeer 19981999
Huidige jaar,2737031,304,1831875,27,156486,388,562605,344,32775,220,153290,192,285560,351362,71606
Vorige jaar,2295341,295,1577228,23,103577,374,445847,363,27723,219,140966,148,240815,328788,76805
Afwyking,441690,9,254647,4,52909,14,116758,-19,5052,1,12324,44,44745,22574,-5199
Afwyking %,19,3,16,17,51,4,26,-5,18,0,9,30,19,7,-7
Doelwit,2454740,333,1656090,22,116006,432,499349,456,31051,268,152243,0,0,0,0
Afwyking,282291,-29,175785,5,40480,-44,63256,-112,1725,-48,1047,192,285560,0,0
Afwyking %,11,-9,11,23,35,-10,13,-25,6,-18,1,0,0,0,0
2,BETHLEHEM - 14,Opgegradeer 19981999
Huidige jaar,2280064,245,1485574,44,225586,266,476266,280,24028,113,68610,144,178013,331428,94553
Vorige jaar,2034637,236,1465098,32,117129,240,382441,278,16457,96,53513,154,185736,288927,80602
Afwyking,245427,9,20476,12,108457,26,93826,2,7571,17,15097,-10,-7723,42501,13952
Afwyking %,12,4,1,38,93,11,25,1,46,18,28,-6,-4,15,17
Doelwit,2174098,222,1538354,22,131184,230,428334,434,18432,94,57794,0,0,0,0
Afwyking,105966,23,-52780,22,94402,36,47933,-154,5596,19,10816,144,178013,0,0
Afwyking %,5,10,-3,100,72,16,11,-35,30,20,19,0,0,0,0
3,KROONSTAD - 118
Huidige jaar,1000708,155,738744,9,39641,190,194197,341,24901,60,3225,67,52314,178067,16047
Vorige jaar,1066488,161,806434,5,37444,193,186805,466,30600,83,5205,84,73484,189402,26523
Afwyking,-65780,-6,-67690,4,2197,-3,7391,-125,-5699,-23,-1980,-17,-21170,-11336,-10477
Afwyking %,-6,-4,-8,80,6,-2,4,-27,-19,-28,-38,-20,-29,-6,-40
Doelwit,1137809,189,846755,13,41937,229,209224,548,34272,106,5621,0,0,0,0
Afwyking,-137101,-34,-108011,-4,-2296,-39,-15027,-207,-9371,-46,-2397,67,52314,0,0
Afwyking %,-12,-18,-13,-31,-5,-17,-7,-38,-27,-43,-43,0,0,0,0
4,ODENDAALSRUS - 160
Huidige jaar,829120,93,556568,9,62238,115,153553,131,12862,39,43900,21,36871,137287,7223
Vorige jaar,753775,97,506037,11,69964,115,140281,173,8983,34,28510,20,46808,125215,11090
Afwyking,75346,-4,50530,-2,-7726,0,13272,-42,3879,5,15390,1,-9936,12072,-3867
Afwyking %,10,-4,10,-18,-11,0,9,-24,43,15,54,5,-21,10,-35
Doelwit,807661,100,531337,9,78359,132,157114,157,10061,44,30791,0,0,0,0
Afwyking,21459,-7,25231,0,-16121,-17,-3561,-26,2801,-5,13109,21,36871,0,0
Afwyking %,3,-7,5,0,-21,-13,-2,-17,28,-11,43,0,0,0,0
5,HENNENMAN - 98
Huidige jaar,614076,73,397002,13,47383,97,126737,143,15383,43,27572,61,59681,94127,11860
Vorige jaar,532517,67,324365,11,67836,76,105036,148,12324,39,22956,66,65725,75987,19193
Afwyking,81559,6,72637,2,-20453,21,21701,-5,3058,4,4615,-5,-6043,18140,-7333
Afwyking %,15,9,22,18,-30,28,21,-3,25,10,20,-8,-9,24,-38
Doelwit,572796,67,340583,18,75976,77,117639,142,13804,41,24794,0,0,0,0
Afwyking,41280,6,56418,-5,-28593,20,9098,1,1579,2,2778,61,59681,0,0
Afwyking %,7,9,17,-28,-38,26,8,1,11,5,11,0,0,0,0
6,VIRGINIA - 244
Huidige jaar,538963,60,355188,4,19618,81,128232,71,6261,38,29665,5,5172,70336,-58
Vorige jaar,589345,68,377644,11,34319,93,140403,135,9346,37,27633,13,18108,69246,1128
