BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-05-06
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201007,TOT,201104
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
Afwyking,-50382,-8,-22456,-7,-14701,-12,-12171,-64,-3085,1,2032,-8,-12936,1091,-1186
Afwyking %,-9,-12,-6,-64,-43,-13,-9,-47,-33,3,7,-62,-71,2,-105
Doelwit,632527,78,396527,17,38438,97,157250,279,10468,47,29844,0,0,0,0
Afwyking,-93564,-18,-41340,-13,-18821,-16,-29019,-208,-4206,-9,-179,5,5172,0,0
Afwyking %,-15,-23,-10,-76,-49,-16,-18,-75,-40,-19,-1,0,0,0,0
7,HEILBRON - 83
Huidige jaar,338403,44,234128,6,28724,45,67127,36,3240,13,5184,10,16788,44669,8195
Vorige jaar,241075,35,153044,3,18335,32,61276,105,5670,8,2750,0,0,15468,-2839
Afwyking,97328,9,81084,3,10389,13,5851,-69,-2430,5,2434,10,16788,29201,11033
Afwyking %,40,26,53,100,57,41,10,-66,-43,63,89,0,0,189,-389
Doelwit,259181,53,160696,7,20535,55,68630,264,6349,21,2970,0,0,0,0
Afwyking,79222,-9,73432,-1,8188,-10,-1503,-228,-3109,-8,2214,10,16788,0,0
Afwyking %,31,-17,46,-14,40,-18,-2,-86,-49,-38,75,0,0,0,0
8,WINBURG - 263
Huidige jaar,302950,31,145512,25,62171,39,77043,196,16333,18,1892,60,68863,44971,21622
Vorige jaar,378034,40,215391,32,87179,46,62498,220,10948,24,2018,67,68424,67536,12159
Afwyking,-75084,-9,-69879,-7,-25008,-7,14545,-24,5384,-6,-126,-7,439,-22565,9463
Afwyking %,-20,-23,-32,-22,-29,-15,23,-11,49,-25,-6,-10,1,-33,78
Doelwit,408240,57,226160,48,97640,64,69998,202,12263,25,2179,0,0,0,0
Afwyking,-105290,-26,-80648,-23,-35469,-25,7045,-6,4070,-7,-287,60,68863,0,0
Afwyking %,-26,-46,-36,-48,-36,-39,10,-3,33,-28,-13,0,0,0,0
9,BOTHAVILLE - 18,Opgegradeer 19971998
Huidige jaar,160386,24,95345,1,19928,22,25798,191,11340,16,7975,5,7822,24468,51330
Vorige jaar,148861,20,96762,0,0,24,39829,188,10920,3,1350,0,0,10091,0
Afwyking,11525,4,-1417,1,19928,-2,-14031,3,419,13,6625,5,7822,14378,51330
Afwyking %,8,20,-1,0,0,-8,-35,2,4,433,491,0,0,142,0
Doelwit,159896,35,101600,3,0,29,44606,254,12232,6,1458,0,0,0,0
Afwyking,490,-11,-6255,-2,19928,-7,-18808,-63,-892,10,6517,5,7822,0,0
Afwyking %,0,-31,-6,-67,0,-24,-42,-25,-7,167,447,0,0,0,0
10,FRANKFORT - 66
Huidige jaar,98774,16,71685,0,0,13,24825,35,715,5,1550,0,0,10363,0
Vorige jaar,171802,21,106024,3,19480,19,41960,22,1689,6,2650,0,0,10590,0
Afwyking,-73028,-5,-34339,-3,-19480,-6,-17136,13,-974,-1,-1100,0,0,-227,0
Afwyking %,-43,-24,-32,-100,-100,-32,-41,59,-58,-17,-42,0,0,-2,0
Doelwit,184892,16,111325,5,21818,18,46995,103,1892,10,2862,0,0,0,0
Afwyking,-86118,0,-39640,-5,-21818,-5,-22171,-68,-1177,-5,-1312,0,0,0,0
Afwyking %,-47,0,-36,-100,-100,-28,-47,-66,-62,-50,-46,0,0,0,0
11,REITZ - 191 200912
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,9675,1,6716,0,0,1,789,49,2170,0,0,0,0,2190,10139
Afwyking,-9675,-1,-6716,0,0,-1,-789,-49,-2170,0,0,0,0,-2190,-10139
Afwyking %,-100,-100,-100,0,0,-100,-100,-100,-100,0,0,0,0,-100,-100
Doelwit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huidige jaar,8900477,1045,5911619,138,661775,1256,1836382,1768,147838,565,342862,565,711084,1287077,282378
Vorige jaar,8221551,1041,5634741,131,555262,1213,1607165,2147,136831,549,287551,552,699101,1183438,234801
Afwyking,678926,4,276878,7,106513,43,229217,-379,11007,16,55311,13,11984,103639,47577
Afwyking %,8,0,5,5,19,4,14,-18,8,3,19,2,2,9,20
Doelwit,8791840,1150,5909427,164,621895,1363,1799139,2839,150823,662,310556,0,0,0,0
Afwyking,108637,-105,2192,-26,39880,-107,37243,-1071,-2984,-97,32306,565,711084,0,0
Afwyking %,1,-9,0,-16,6,-8,2,-38,-2,-15,10,0,0,0,0
1,BLOEMFONTEIN - 543,Opgegradeer 19992000
Huidige jaar,7297751,772,5055651,171,711641,934,1150913,760,78095,370,301451,114,212318,1137974,67334
Vorige jaar,7051847,818,4989654,188,678099,974,1049579,940,84216,381,250298,71,104189,1037118,43919
Afwyking,245904,-46,65997,-17,33542,-40,101334,-180,-6121,-11,51152,43,108129,100856,23415
Afwyking %,3,-6,1,-9,5,-4,10,-19,-7,-3,20,61,104,10,53
Doelwit,7538783,830,5239137,149,759472,924,1175530,970,94323,453,270322,0,0,0,0
Afwyking,-241032,-58,-183485,22,-47831,10,-24616,-210,-16228,-83,31129,114,212318,0,0
Afwyking %,-3,-7,-4,15,-6,1,-2,-22,-17,-18,12,0,0,0,0
2,KIMBERLEY 1 - 541,Opgegradeer 19992000
Huidige jaar,2120986,257,1724099,24,94480,328,237505,360,31145,165,33757,200,284456,338680,89248
Vorige jaar,2659233,323,2017258,45,202261,412,376446,449,30856,231,32411,144,198814,365062,53261
Afwyking,-538247,-66,-293159,-21,-107781,-84,-138941,-89,289,-66,1346,56,85642,-26383,35988
Afwyking %,-20,-20,-15,-47,-53,-20,-37,-20,1,-29,4,39,43,-7,68
Doelwit,2835832,348,2118119,42,226532,418,421618,556,34559,242,35004,0,0,0,0
Afwyking,-714846,-91,-394020,-18,-132052,-90,-184113,-196,-3414,-77,-1247,200,284456,0,0
Afwyking %,-25,-26,-19,-43,-58,-22,-44,-35,-10,-32,-4,0,0,0,0
3,DE AAR - 40
Huidige jaar,844079,85,517090,34,162942,112,146309,159,15369,21,2370,73,80560,128084,26886
Vorige jaar,545156,55,278874,27,116594,91,131102,214,17716,7,870,128,135190,84544,44831
Afwyking,298923,30,238216,7,46348,21,15206,-55,-2348,14,1500,-55,-54630,43540,-17946
Afwyking %,55,55,85,26,40,23,12,-26,-13,200,172,-43,-40,51,-40
Doelwit,591020,85,292820,50,130584,133,146834,222,19842,19,940,0,0,0,0
Afwyking,253059,0,224270,-16,32357,-21,-526,-63,-4473,2,1431,73,80560,0,0
Afwyking %,43,0,77,-32,25,-16,0,-28,-23,11,152,0,0,0,0
4,ZASTRON - 290
Huidige jaar,589779,81,382670,10,67732,87,114661,352,11612,26,13104,59,70486,116936,25056
Vorige jaar,589808,86,385697,20,91167,93,89328,402,15997,16,7620,35,44125,119627,12078
Afwyking,-30,-5,-3027,-10,-23435,-6,25333,-50,-4384,10,5484,24,26361,-2691,12978
Afwyking %,0,-6,-1,-50,-26,-6,28,-12,-27,63,72,69,60,-2,107
Doelwit,633288,116,404984,23,102107,130,100050,536,17918,16,8230,0,0,0,0
Afwyking,-43509,-35,-22314,-13,-34376,-43,14612,-184,-6305,10,4874,59,70486,0,0
Afwyking %,-7,-30,-6,-57,-34,-33,15,-34,-35,63,59,0,0,0,0
5,ALIWAL NOORD - 3
Huidige jaar,562871,64,366657,11,57719,74,124979,184,13552,38,-36,2,5472,112197,1218
Vorige jaar,403249,42,245425,16,84923,54,63148,129,6500,25,3253,2,5484,65805,3334
Afwyking,159622,22,121232,-5,-27204,20,61831,55,7052,13,-3289,0,-12,46392,-2115
Afwyking %,40,52,49,-31,-32,37,98,43,108,52,-101,0,0,70,-63
Doelwit,434329,50,257696,16,95114,62,70726,257,7279,32,3514,0,0,0,0
Afwyking,128542,14,108961,-5,-37395,12,54253,-73,6273,6,-3550,2,5472,0,0
Afwyking %,30,28,42,-31,-39,19,77,-28,86,19,-101,0,0,0,0
6,BOTSHABELO - 9
Huidige jaar,379820,34,224845,27,101315,34,43171,67,4559,18,5930,108,156988,62111,59613
Vorige jaar,326477,34,230851,21,54357,33,35903,77,4729,13,636,70,92978,48492,28714
Afwyking,53343,0,-6006,6,46957,1,7268,-10,-170,5,5294,38,64010,13619,30900
Afwyking %,16,0,-3,29,86,3,20,-13,-4,38,832,54,69,28,108
Doelwit,349469,44,242394,22,60879,39,40213,162,5298,23,687,0,0,0,0
Afwyking,30351,-10,-17549,5,40436,-5,2959,-95,-739,-5,5243,108,156988,0,0
Afwyking %,9,-23,-7,23,66,-13,7,-59,-14,-22,763,0,0,0,0
7,LADYBRAND - 130
Huidige jaar,336621,42,210608,20,56841,44,57856,181,12541,3,-1226,0,0,41571,3259
Vorige jaar,431964,52,260299,23,85137,54,69272,223,14444,9,2813,0,0,35265,11656
Afwyking,-95343,-10,-49691,-3,-28296,-10,-11415,-42,-1902,-6,-4038,0,0,6306,-8398
Afwyking %,-22,-19,-19,-13,-33,-19,-16,-19,-13,-67,-144,0,0,18,-72
Doelwit,465467,35,273314,21,95356,28,77584,106,16176,5,3038,0,0,0,0
Afwyking,-128846,7,-62706,-1,-38514,16,-19727,75,-3635,-2,-4264,0,0,0,0
Afwyking %,-28,20,-23,-5,-40,57,-25,71,-22,-40,-140,0,0,0,0
8,FICKSBURG - 62
Huidige jaar,310648,28,143518,27,98819,35,49256,268,17689,12,1366,37,66230,59269,15475
Vorige jaar,339570,42,198380,20,61224,46,57498,242,16796,11,5672,52,85752,42227,27070
Afwyking,-28923,-14,-54862,7,37595,-11,-8242,26,893,1,-4306,-15,-19522,17042,-11595
Afwyking %,-9,-33,-28,35,61,-24,-14,11,5,9,-76,-29,-23,40,-43
Doelwit,366412,34,208298,12,68571,38,64397,201,18812,8,6335,0,0,0,0
Afwyking,-55765,-6,-64780,15,30248,-3,-15141,67,-1123,4,-4969,37,66230,0,0
Afwyking %,-15,-18,-31,125,44,-8,-24,33,-6,50,-78,0,0,0,0
9,PRIESKA - 180
Huidige jaar,165883,19,96561,8,39510,18,24838,53,5214,5,-240,68,58126,33158,4891
Vorige jaar,117311,12,78892,4,15467,15,19155,57,3239,10,558,4,3115,17380,4007
Afwyking,48572,7,17670,4,24043,3,5682,-4,1975,-5,-798,64,55011,15778,884
Afwyking %,41,58,22,100,155,20,30,-7,61,-50,-143,1600,1766,91,22
Doelwit,125843,12,82837,10,17324,9,21453,58,3627,4,603,0,0,0,0
Afwyking,40040,7,13724,-2,22185,9,3385,-5,1588,1,-843,68,58126,0,0
Afwyking %,32,58,17,-20,128,100,16,-9,44,25,-140,0,0,0,0
10,COLESBERG - 33
Huidige jaar,162106,21,93928,7,30521,21,30761,79,7096,4,-200,24,35928,29898,13005
Vorige jaar,159052,25,94347,7,25975,23,30604,125,8176,2,-50,13,13904,25287,4022
Afwyking,3054,-4,-419,0,4546,-2,157,-46,-1080,2,-150,11,22024,4612,8983
Afwyking %,2,-16,0,0,18,-9,1,-37,-13,100,300,85,158,18,223
Doelwit,171535,19,99062,3,29093,18,34275,117,9158,0,-54,0,0,0,0
Afwyking,-9429,2,-5134,4,1428,3,-3514,-38,-2063,4,-146,24,35928,0,0
Afwyking %,-5,11,-5,133,5,17,-10,-32,-23,0,0,0,0,0,0
11,SENEKAL - 202 200912
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,61224,13,43401,0,0,7,13398,78,4424,0,0,0,0,2093,-101
Afwyking,-61224,-13,-43401,0,0,-7,-13398,-78,-4424,0,0,0,0,-2093,101
Afwyking %,-100,-100,-100,0,0,-100,-100,-100,-100,0,0,0,0,-100,-100
Doelwit,74728,11,26836,9,30490,11,8639,119,8343,2,421,0,0,0,0
Afwyking,-74728,-11,-26836,-9,-30490,-11,-8639,-119,-8343,-2,-421,0,0,0,0
Afwyking %,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0
12,THABA'NCHU - 220 200910,Opgegradeer 19971998
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,32230,3,16991,4,12888,2,1465,13,757,2,130,0,0,7988,0
Afwyking,-32230,-3,-16991,-4,-12888,-2,-1465,-13,-757,-2,-130,0,0,-7988,0
Afwyking %,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,-100,0
Doelwit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huidige jaar,12770543,1403,8815628,339,1421518,1687,1980249,2463,196871,662,356276,685,970563,2059878,305986
Vorige jaar,12717120,1505,8840069,375,1428091,1804,1936900,2949,207849,707,304211,519,683550,1850888,232791
Afwyking,53422,-102,-24441,-36,-6573,-117,43349,-486,-10978,-45,52064,166,287013,208990,73194
Afwyking %,0,-7,0,-10,0,-6,2,-16,-5,-6,17,32,42,11,31
Doelwit,13586707,1584,9245496,357,1615522,1810,2161317,3304,235333,804,329040,0,0,0,0
Afwyking,-816164,-181,-429868,-18,-194004,-123,-181067,-841,-38462,-142,27236,685,970563,0,0
Afwyking %,-6,-11,-5,-5,-12,-7,-8,-25,-16,-18,8,0,0,0,0
1,EMPANGENI - 57
Huidige jaar,4276468,456,2621649,29,211056,496,1197538,312,83597,281,162628,285,546416,755400,335126
Vorige jaar,4519982,481,2740555,42,185460,531,1349174,377,53064,320,191729,348,749521,779081,327568
Afwyking,-243514,-25,-118906,-13,25596,-35,-151636,-65,30533,-39,-29101,-63,-203105,-23681,7557
Afwyking %,-5,-5,-4,-31,14,-7,-11,-17,58,-12,-15,-18,-27,-3,2
Doelwit,4862866,503,2877582,32,207714,517,1511073,353,59431,319,207067,0,0,0,0
Afwyking,-586398,-47,-255933,-3,3342,-21,-313535,-41,24167,-38,-44439,285,546416,0,0
Afwyking %,-12,-9,-9,-9,2,-4,-21,-12,41,-12,-21,0,0,0,0
2,NEWCASTLE - 151,Opgegradeer 19992000
Huidige jaar,3022249,317,2317418,6,26113,353,649579,95,9988,177,19151,112,213791,445718,101280
Vorige jaar,2391015,286,1872438,8,29654,352,458451,113,13285,146,17188,156,320219,351155,147292
Afwyking,631234,31,444981,-2,-3540,1,191127,-18,-3298,31,1964,-44,-106428,94564,-46012
Afwyking %,26,11,24,-25,-12,0,42,-16,-25,21,11,-28,-33,27,-31
Doelwit,2550649,347,1966059,8,33211,407,513464,125,14880,181,23034,0,0,0,0
Afwyking,471600,-30,351359,-2,-7098,-54,136115,-30,-4893,-4,-3883,112,213791,0,0
Afwyking %,18,-9,18,-25,-21,-13,27,-24,-33,-2,-17,0,0,0,0
3,VRYHEID - 248,Opgegradeer 19971998
Huidige jaar,2203598,307,1422201,28,101665,272,517437,238,53945,142,108350,104,188674,436058,90171
Vorige jaar,2345573,431,1513270,22,110564,307,590001,235,46792,131,84946,117,209927,415433,101271
Afwyking,-141975,-124,-91069,6,-8899,-35,-72564,3,7153,11,23404,-13,-21253,20625,-11100
Afwyking %,-6,-29,-6,27,-8,-11,-12,1,15,8,28,-11,-10,5,-11
Doelwit,2517720,584,1588934,42,123834,394,660803,274,52407,171,91742,0,0,0,0
Afwyking,-314122,-277,-166732,-14,-22169,-122,-143366,-36,1538,-29,16609,104,188674,0,0
Afwyking %,-12,-47,-10,-33,-18,-31,-22,-13,3,-17,18,0,0,0,0
4,DUNDEE - 45
Huidige jaar,1940604,275,1223756,20,150897,237,469010,152,32631,101,64310,85,163018,338371,56301
Vorige jaar,1843930,338,1213185,12,67503,286,472712,165,33096,101,57433,78,147377,312411,33002
Afwyking,96674,-63,10571,8,83394,-49,-3702,-13,-466,0,6877,7,15642,25960,23299
Afwyking %,5,-19,1,67,124,-17,-1,-8,-1,0,12,9,11,8,71
Doelwit,1977984,353,1273845,12,75605,325,529439,199,37068,102,62028,0,0,0,0
Afwyking,-37380,-78,-50089,8,75293,-88,-60428,-47,-4437,-1,2282,85,163018,0,0
Afwyking %,-2,-22,-4,67,100,-27,-11,-24,-12,-1,4,0,0,0,0
5,ULUNDI - 235
Huidige jaar,1873218,225,1141151,7,50995,222,642314,59,12404,137,26355,77,107477,340298,73691
Vorige jaar,1481508,197,981727,14,75442,213,387813,159,28281,109,8245,0,0,278853,48243
Afwyking,391710,28,159424,-7,-24447,9,254501,-100,-15878,28,18110,77,107477,61445,25448
Afwyking %,26,14,16,-50,-32,4,66,-63,-56,26,220,0,0,22,53
Doelwit,1590238,225,1030813,17,84494,244,434352,124,31676,143,8904,0,0,0,0
Afwyking,282980,0,110338,-10,-33499,-22,207962,-65,-19272,-6,17451,77,107477,0,0
Afwyking %,18,0,11,-59,-40,-9,48,-52,-61,-4,196,0,0,0,0
6,ERMELO - 52
Huidige jaar,1538639,157,1144397,3,13053,165,286657,138,22151,99,72380,108,167871,239113,109421
Vorige jaar,1331507,141,1047073,1,2277,160,206669,173,26413,79,49075,121,176139,211706,103073
Afwyking,207132,16,97324,2,10776,5,79989,-35,-4262,20,23305,-13,-8268,27407,6348
Afwyking %,16,11,9,200,473,3,39,-20,-16,25,47,-11,-5,13,6
Doelwit,1416029,173,1099428,7,2550,170,231468,231,29581,90,53001,0,0,0,0
Afwyking,122610,-16,44970,-4,10503,-5,55189,-93,-7430,9,19379,108,167871,0,0
Afwyking %,9,-9,4,-57,412,-3,24,-40,-25,10,37,0,0,0,0
7,STANDERTON - 207
Huidige jaar,626143,64,339998,23,114394,83,153636,58,12666,15,5450,36,67370,103784,22165
Vorige jaar,316567,45,200676,5,13591,47,91792,50,6455,10,4054,46,85924,53593,22809
Afwyking,309576,19,139323,18,100803,36,61844,8,6211,5,1396,-10,-18553,50191,-644
Afwyking %,98,42,69,360,742,77,67,16,96,50,34,-22,-22,94,-3
Doelwit,340345,59,210709,11,15222,50,102806,92,7230,24,4378,0,0,0,0
Afwyking,285798,5,129289,12,99172,33,50830,-34,5436,-9,1072,36,67370,0,0
Afwyking %,84,8,61,109,652,66,49,-37,75,-38,24,0,0,0,0
8,VREDE - 246 201007
Huidige jaar,7913,0,0,1,7913,0,0,0,0,0,0,0,0,0,0
Vorige jaar,51925,6,28510,1,6831,8,14899,13,1095,3,590,0,0,10200,0
Afwyking,-44012,-6,-28510,0,1082,-8,-14899,-13,-1095,-3,-590,0,0,-10200,0
Afwyking %,-85,-100,-100,0,16,-100,-100,-100,-100,-100,-100,0,0,-100,0
Doelwit,56137,16,29937,5,7651,14,16686,32,1226,3,637,0,0,0,0
Afwyking,-48224,-16,-29937,-4,262,-14,-16686,-32,-1226,-3,-637,0,0,0,0
Afwyking %,-86,-100,-100,-80,3,-100,-100,-100,-100,-100,-100,0,0,0,0
Afwyking %,-86,-100,-100,-80,3,-100,-100,-100,-100,-100,-100,0,0,0,0
Huidige jaar,15488833,1801,10210571,117,676086,1828,3916171,1052,227381,952,458625,807,1454618,2658742,788154
Vorige jaar,14282008,1925,9597433,105,491322,1904,3571511,1285,208482,899,413259,866,1689107,2412431,783258
Afwyking,1206826,-124,613138,12,184764,-76,344660,-233,18899,53,45365,-59,-234489,246311,4896
Afwyking %,8,-6,6,11,38,-4,10,-18,9,6,11,-7,-14,10,1
Doelwit,15311967,2260,10077306,134,550281,2121,4000090,1430,233499,1033,450791,0,0,0,0
Afwyking,176866,-459,133266,-17,125805,-293,-83919,-378,-6118,-81,7834,807,1454618,0,0
Afwyking %,1,-20,1,-13,23,-14,-2,-26,-3,-8,2,0,0,0,0
1,KEMPTON PARK - 125,Opgegradeer 19971998
Huidige jaar,5525928,538,3895110,48,213456,664,1014903,298,52659,281,349799,133,326879,884141,191673
Vorige jaar,-326167,537,-282298,38,4462,644,16621,129,11653,257,-76606,148,313344,357114,190515
Afwyking,5852095,1,4177408,10,208994,20,998282,169,41006,24,426405,-15,13535,527027,1158
Afwyking %,-1794,0,-1480,26,4684,3,6006,131,352,9,-557,-10,4,148,1
Doelwit,76878,542,13113,47,8709,674,92933,195,13680,277,-51557,0,0,0,0
Afwyking,5449050,-4,3881997,1,204747,-10,921970,103,38979,4,401356,133,326879,0,0
Afwyking %,7088,-1,29603,2,2351,-1,992,53,285,1,0,0,0,0,0
2,JOHANNESBURG DIENS - 544,Opgegradeer 19971998
Huidige jaar,4697114,449,3274234,41,253602,520,1080770,127,33976,273,54533,214,451366,805083,227333
Vorige jaar,4283036,511,3003707,57,286426,629,899027,159,30339,266,63536,145,324923,733656,153057
Afwyking,414078,-62,270527,-16,-32825,-109,181743,-32,3636,7,-9003,69,126443,71427,74276
Afwyking %,10,-12,9,-28,-11,-17,20,-20,12,3,-14,48,39,10,49
Doelwit,4584202,709,3153892,92,320797,784,1006911,215,33982,336,68619,0,0,0,0
Afwyking,112912,-260,120341,-51,-67195,-264,73859,-88,-6,-63,-14086,214,451366,0,0
Afwyking %,2,-37,4,-55,-21,-34,7,-41,0,-19,-21,0,0,0,0
3,ALBERTON - 2
Huidige jaar,4408378,378,2948642,60,325909,562,816377,106,15627,241,301823,239,495880,540330,188397
Vorige jaar,4267970,408,2842985,35,160474,534,964250,173,26016,238,274246,284,472589,442590,195073
Afwyking,140408,-30,105658,25,165436,28,-147873,-67,-10389,3,27577,-45,23290,97740,-6676
Afwyking %,3,-7,4,71,103,5,-15,-39,-40,1,10,-16,5,22,-3
Doelwit,4570149,348,2985134,45,179731,520,1079960,96,29138,204,296186,0,0,0,0
Afwyking,-161771,30,-36492,15,146178,42,-263583,10,-13511,37,5637,239,495880,0,0
Afwyking %,-4,9,-1,33,81,8,-24,10,-46,18,2,0,0,0,0
4,BOKSBURG - 25
Huidige jaar,2909190,206,2100128,19,87581,320,536666,95,25465,151,159350,34,85631,306378,37609
Vorige jaar,2821474,217,2032702,33,114104,333,494418,132,30069,158,150180,52,96893,204643,56415
Afwyking,87716,-11,67426,-14,-26523,-13,42248,-37,-4604,-7,9170,-18,-11263,101734,-18806
Afwyking %,3,-5,3,-42,-23,-4,9,-28,-15,-4,6,-35,-12,50,-33
Doelwit,3011757,232,2134338,39,127798,361,553749,194,33677,157,162194,0,0,0,0
Afwyking,-102567,-26,-34210,-20,-40217,-41,-17083,-99,-8212,-6,-2844,34,85631,0,0
Afwyking %,-3,-11,-2,-51,-31,-11,-3,-51,-24,-4,-2,0,0,0,0
5,GERMISTON - 70
Huidige jaar,2003239,209,1377670,11,54060,275,458040,299,45150,88,68320,335,586972,256281,258557
Vorige jaar,1273457,150,896497,30,123996,181,179150,197,16164,68,57650,319,606974,187317,199660
Afwyking,729783,59,481172,-19,-69936,94,278890,102,28986,20,10670,16,-20002,68965,58896
Afwyking %,57,39,54,-63,-56,52,156,52,179,29,19,5,-3,37,29
Doelwit,1361211,313,941323,36,138874,375,200648,386,18104,181,62262,0,0,0,0
Afwyking,642028,-104,436347,-25,-84815,-100,257392,-87,27046,-93,6058,335,586972,0,0
Afwyking %,47,-33,46,-69,-61,-27,128,-23,149,-51,10,0,0,0,0
6,BENONI - 12
Huidige jaar,1520943,142,1072334,15,58395,188,296596,57,10966,76,82653,41,70753,193829,26681
Vorige jaar,1567655,152,1116597,22,82789,215,262265,81,13330,81,92675,21,34763,147468,10858
