BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-06-07
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201007,TOT,201105
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
Doelwit,190545,40,121118,4,0,34,53056,290,14914,7,1458,0,0,0,0
Afwyking,-29717,-16,-25773,-3,19928,-12,-27257,-91,-3132,9,6517,7,11242,0,0
Afwyking %,-16,-40,-21,-75,0,-35,-51,-31,-21,129,447,0,0,0,0
10,FRANKFORT - 66
Huidige jaar,105208,17,77764,0,0,13,24825,44,1069,5,1550,0,0,11608,0
Vorige jaar,171802,21,106024,3,19480,19,41960,22,1689,6,2650,0,0,10590,0
Afwyking,-66595,-4,-28260,-3,-19480,-6,-17136,22,-619,-1,-1100,0,0,1018,0
Afwyking %,-39,-19,-27,-100,-100,-32,-41,100,-37,-17,-42,0,0,10,0
Doelwit,184892,17,111325,5,21818,19,46995,111,1892,10,2862,0,0,0,0
Afwyking,-79684,0,-33561,-5,-21818,-6,-22171,-67,-822,-5,-1312,0,0,0,0
Afwyking %,-43,0,-30,-100,-100,-32,-47,-60,-43,-50,-46,0,0,0,0
11,REITZ - 191 200912
Huidige jaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorige jaar,9675,1,6716,0,0,1,789,49,2170,0,0,0,0,2190,10139
Afwyking,-9675,-1,-6716,0,0,-1,-789,-49,-2170,0,0,0,0,-2190,-10139
Afwyking %,-100,-100,-100,0,0,-100,-100,-100,-100,0,0,0,0,-100,-100
Doelwit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afwyking %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huidige jaar,9667591,1140,6431831,144,685695,1368,2013272,1926,160060,619,376732,608,766340,1402381,296468
Vorige jaar,9047793,1163,6242922,139,580216,1363,1754492,2350,149941,613,320222,614,795585,1307633,260421
Afwyking,619799,-23,188909,5,105480,5,258781,-424,10119,6,56510,-6,-29246,94748,36047
Afwyking %,7,-2,3,4,18,0,15,-18,7,1,18,-1,-4,7,14
Doelwit,9673352,1248,6548017,189,649843,1488,1964144,3064,165506,715,345841,0,0,0,0
Afwyking,-5761,-108,-116186,-45,35852,-120,49128,-1138,-5445,-96,30891,608,766340,0,0
Afwyking %,0,-9,-2,-24,6,-8,3,-37,-3,-13,9,0,0,0,0
1,BLOEMFONTEIN - 543,Opgegradeer 19992000
Huidige jaar,8091214,858,5646651,180,748031,1044,1278870,821,84796,412,332866,132,244529,1251331,75442
Vorige jaar,7687981,886,5441587,196,720891,1051,1156587,1053,95983,412,272932,79,117360,1151333,48940
Afwyking,403234,-28,205064,-16,27139,-7,122284,-232,-11187,0,59933,53,127169,99998,26502
Afwyking %,5,-3,4,-8,4,-1,11,-22,-12,0,22,67,108,9,54
Doelwit,8218711,907,5713666,161,807399,1013,1295377,1101,107502,492,294767,0,0,0,0
Afwyking,-127497,-49,-67015,19,-59368,31,-16507,-280,-22706,-80,38099,132,244529,0,0
Afwyking %,-2,-5,-1,12,-7,3,-1,-25,-21,-16,13,0,0,0,0
2,KIMBERLEY 1 - 541,Opgegradeer 19992000
Huidige jaar,2493949,294,2004261,28,108081,379,308132,387,33577,189,39898,217,304922,390647,90838
Vorige jaar,2916213,355,2224182,49,208037,446,413916,488,33087,253,36991,161,221026,398728,58281
Afwyking,-422263,-61,-219921,-21,-99957,-67,-105783,-101,490,-64,2907,56,83896,-8081,32557
Afwyking %,-14,-17,-10,-43,-48,-15,-26,-21,1,-25,8,35,38,-2,56
Doelwit,3108982,383,2335389,45,233001,461,463584,637,37057,269,39950,0,0,0,0
Afwyking,-615033,-89,-331128,-17,-124921,-82,-155452,-250,-3480,-80,-52,217,304922,0,0
Afwyking %,-20,-23,-14,-38,-54,-18,-34,-39,-9,-30,0,0,0,0,0
3,DE AAR - 40
Huidige jaar,968876,99,598727,36,174347,127,175352,175,16959,25,3490,76,92330,147954,30527
Vorige jaar,573711,58,288036,28,131623,97,132940,239,20242,7,870,147,155482,88879,52598
Afwyking,395165,41,310691,8,42724,30,42412,-64,-3283,18,2620,-71,-63151,59075,-22071
Afwyking %,69,71,108,29,32,31,32,-27,-16,257,301,-48,-41,66,-42
Doelwit,622359,88,302440,57,147417,140,148893,237,22670,20,940,0,0,0,0
Afwyking,346517,11,296287,-21,26931,-13,26460,-62,-5711,5,2550,76,92330,0,0
Afwyking %,56,13,98,-37,18,-9,18,-26,-25,25,271,0,0,0,0
4,ZASTRON - 290
Huidige jaar,673132,92,447161,10,67732,97,129685,402,13150,30,15404,59,70486,130823,25193
Vorige jaar,611474,91,399805,21,94939,98,91951,426,16709,17,8070,41,51601,123174,14898
Afwyking,61658,1,47356,-11,-27208,-1,37735,-24,-3559,13,7334,18,18885,7649,10295
Afwyking %,10,1,12,-52,-29,-1,41,-6,-21,76,91,44,37,6,69
Doelwit,656547,118,419796,28,106333,135,102987,550,18715,16,8716,0,0,0,0
Afwyking,16585,-26,27365,-18,-38601,-38,26698,-148,-5565,14,6688,59,70486,0,0
Afwyking %,3,-22,7,-64,-36,-28,26,-27,-30,88,77,0,0,0,0
5,ALIWAL NOORD - 3
Huidige jaar,599904,68,393997,11,57719,79,134251,189,13690,42,247,2,5472,118388,1262
Vorige jaar,445598,48,269593,16,84923,60,79491,131,6575,29,5015,2,5484,70531,3510
Afwyking,154307,20,124404,-5,-27204,19,54759,58,7115,13,-4768,0,-12,47858,-2248
Afwyking %,35,42,46,-31,-32,32,69,44,108,45,-95,0,0,68,-64
Doelwit,479997,55,283073,17,95114,69,89030,284,7363,33,5417,0,0,0,0
Afwyking,119907,13,110925,-6,-37395,10,45221,-95,6328,9,-5170,2,5472,0,0
Afwyking %,25,24,39,-35,-39,14,51,-33,86,27,-95,0,0,0,0
6,BOTSHABELO - 9
Huidige jaar,426615,39,259658,28,104981,39,50623,70,4774,23,6580,115,172317,69792,62481
Vorige jaar,381582,39,260591,29,77800,38,37583,83,5361,14,246,73,99187,58143,33088
Afwyking,45033,0,-934,-1,27180,1,13039,-13,-587,9,6334,42,73130,11649,29393
Afwyking %,12,0,0,-3,35,3,35,-16,-11,64,2575,58,74,20,89
Doelwit,409542,48,273621,23,87135,43,42094,166,6005,26,687,0,0,0,0
Afwyking,17073,-9,-13963,5,17846,-4,8529,-96,-1232,-3,5893,115,172317,0,0
Afwyking %,4,-19,-5,22,20,-9,20,-58,-21,-12,858,0,0,0,0
7,LADYBRAND - 130
Huidige jaar,384274,49,249289,20,56841,53,65475,195,13894,3,-1226,0,0,45459,3259
Vorige jaar,497855,60,308966,25,93141,60,75548,253,16760,12,3441,0,0,45999,17244
Afwyking,-113582,-11,-59676,-5,-36300,-7,-10073,-58,-2866,-9,-4666,0,0,-541,-13985
Afwyking %,-23,-18,-19,-20,-39,-12,-13,-23,-17,-75,-136,0,0,-1,-81
Doelwit,535835,38,324414,26,104320,32,84613,112,18771,5,3716,0,0,0,0
Afwyking,-151561,11,-75125,-6,-47479,21,-19138,83,-4877,-2,-4942,0,0,0,0
Afwyking %,-28,29,-23,-23,-46,66,-23,74,-26,-40,-133,0,0,0,0
8,FICKSBURG - 62
Huidige jaar,354338,34,176123,27,98819,42,58949,281,18891,13,1556,43,73976,65651,17997
Vorige jaar,383111,46,218447,25,75160,50,63814,266,17828,14,7862,57,89454,50774,29264
Afwyking,-28773,-12,-42324,2,23659,-8,-4865,15,1063,-1,-6306,-14,-15478,14876,-11267
Afwyking %,-8,-26,-19,8,31,-16,-8,6,6,-7,-80,-25,-17,29,-39
Doelwit,413475,40,229367,13,84179,42,71471,235,19967,10,8491,0,0,0,0
Afwyking,-59137,-6,-53244,14,14639,0,-12521,46,-1076,3,-6935,43,73976,0,0
Afwyking %,-14,-15,-23,108,17,0,-18,20,-5,30,-82,0,0,0,0
9,COLESBERG - 33
Huidige jaar,200881,25,116979,9,40736,25,34741,91,8625,4,-200,32,45403,35788,12902
