BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-07-07
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201007,TOT,201106
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
1,WELKOM - 275,Opgegradeer 19981999
Huidige jaar,3346033,367,2227002,37,197971,470,694311,423,40199,267,186550,0,0,420780,76824
Vorige jaar,2805407,365,1947117,27,116718,461,540277,429,33585,266,167711,0,0,404432,96978
Afwyking,540626,2,279885,10,81253,9,154034,-6,6615,1,18839,0,0,16347,-20153
Afwyking %,19,1,14,37,70,2,29,-1,20,0,11,0,0,4,-21
Doelwit,2999051,387,2044474,28,130724,502,605110,560,37615,308,181128,0,0,0,0
Afwyking,346982,-20,182528,9,67247,-32,89200,-137,2584,-41,5422,0,0,0,0
Afwyking %,12,-5,9,32,51,-6,15,-24,7,-13,3,0,0,0,0
2,BETHLEHEM - 14,Opgegradeer 19981999
Huidige jaar,2671893,288,1768985,49,242429,323,552477,295,25435,135,82566,156,194807,387855,105240
Vorige jaar,2427548,281,1741329,42,160696,290,444292,297,17619,112,63613,180,214191,351167,92735
Afwyking,244345,7,27656,7,81733,33,108185,-2,7816,23,18954,-24,-19384,36687,12505
Afwyking %,10,2,2,17,51,11,24,-1,44,21,30,-13,-9,10,13
Doelwit,2594419,266,1828398,30,179981,279,497607,499,19732,120,68702,0,0,0,0
Afwyking,77474,22,-59413,19,62448,44,54870,-204,5703,15,13864,156,194807,0,0
Afwyking %,3,8,-3,63,35,16,11,-41,29,13,20,0,0,0,0
3,KROONSTAD - 118
Huidige jaar,1227196,190,908893,9,39641,231,245495,424,30162,75,3005,73,57006,217900,17963
Vorige jaar,1351771,203,1025650,6,39461,251,245489,540,33869,99,7302,93,83354,238159,31270
Afwyking,-124575,-13,-116757,3,180,-20,6,-116,-3707,-24,-4297,-20,-26348,-20259,-13307
Afwyking %,-9,-6,-11,50,0,-8,0,-21,-11,-24,-59,-22,-32,-9,-43
Doelwit,1441898,226,1076931,16,44198,281,274949,661,37934,126,7886,0,0,0,0
Afwyking,-214702,-36,-168039,-7,-4556,-50,-29454,-237,-7772,-51,-4881,73,57006,0,0
Afwyking %,-15,-16,-16,-44,-10,-18,-11,-36,-20,-40,-62,0,0,0,0
4,ODENDAALSRUS - 160
Huidige jaar,961082,109,646561,9,62238,134,181281,156,17246,49,53757,24,42271,158392,8430
Vorige jaar,953262,121,642151,13,83993,144,178180,204,11077,45,37860,28,65950,152034,18400
Afwyking,7820,-12,4409,-4,-21756,-10,3101,-48,6169,4,15897,-4,-23678,6357,-9969
Afwyking %,1,-10,1,-31,-26,-7,2,-24,56,9,42,-14,-36,4,-54
Doelwit,1021184,120,674255,11,94072,157,199562,178,12406,55,40889,0,0,0,0
Afwyking,-60102,-11,-27695,-2,-31835,-23,-18281,-22,4839,-6,12868,24,42271,0,0
Afwyking %,-6,-9,-4,-18,-34,-15,-9,-12,39,-11,31,0,0,0,0
5,HENNENMAN - 98
Huidige jaar,793314,92,496587,18,62639,120,173056,182,19810,55,41222,74,71134,118921,14569
Vorige jaar,643028,84,398120,12,72499,94,129373,188,14361,49,28674,71,70957,93901,19862
Afwyking,150286,8,98468,6,-9861,26,43683,-6,5449,6,12547,3,177,25020,-5292
Afwyking %,23,10,25,50,-14,28,34,-3,38,12,44,4,0,27,-27
Doelwit,691176,86,418026,24,81199,102,144898,186,16084,55,30969,0,0,0,0
Afwyking,102138,6,78561,-6,-18560,18,28158,-4,3725,0,10253,74,71134,0,0
Afwyking %,15,7,19,-25,-23,18,19,-2,23,0,33,0,0,0,0
6,VIRGINIA - 244
