SLR11501  AVBOB INFORMATION SERVICES - PRODUCTION
DATUM: 11-05-23 LEWERANSIES - DETAIL VOORRAAD VOORHANDE LYS. Oudit nr 23774
BOTHAVILLE ( TAK : 18 )  ***  VERTEENWOORDIGER NR : 56740  ***  VERTEENWOORDIGER NAAM : R ROWETT
Oudit/Kontrole
BOEK BEGIN,BOEK END,*********  U I T S T A A N D E   D O K U M E N T  **************
0,0,1802320,1802321,1802322,1802323,1802324,1802325,1802326,1802327,1802328,1802329
0,0,1802330,1802331,1802342,1802343,1802344,1802345,1802346,1802347,1802348,1802349
0,0,1802350,0,0,0,0,0,0,0,0,0
* * * * * * *     B O E K   I N G E B R U I K     * * * * * * * UITGEREIK : 20100506
1802351,1802400,1802351,1802352,1802357,1802358,1802359,1802360,1802361,1802362,1802363,1802365
0,0,1802366,1802367,1802368,1802369,1802371,1802372,1802374,1802383,1802385,1802387
0,0,1802393,0,0,0,0,0,0,0,0,0
* * * * * * *     B O E K   I N G E B R U I K     * * * * * * * UITGEREIK : 20100812
1802401,1802450,1802405,1802406,1802416,1802425,1802426,0,0,0,0,0
* * * * * * *     B O E K   I N G E B R U I K     * * * * * * * UITGEREIK : 20100812
1802451,1802500,1802467,1802468,1802469,1802470,1802471,1802472,1802473,1802474,1802475,1802476
0,0,1802477,1802478,1802479,1802480,1802481,1802482,1802483,1802484,1802485,1802486
0,0,1802487,1802488,1802489,1802490,1802491,1802492,1802493,1802494,1802495,1802496
0,0,1802497,1802498,1802499,1802500,0,0,0,0,0,0
* * * * * * *     B O E K   I N G E B R U I K     * * * * * * * UITGEREIK : 20110413
EINDE VAN ABSA BANK DEPOSITO BOEKE 4
